conf/mdm/2009,http://ieeexplore.ieee.org/xpl/mostRecentIssue.jsp?punumber=5088898,"MDM 2009, Tenth International Conference on Mobile Data Management, Taipei, Taiwan, 18-20 May 2009",2009,IEEE Computer Society,db/conf/mdm/mdm2009.html,proceedings
conf/analco/2009,http://dx.doi.org/10.1137/1.9781611972993,"Proceedings of the Sixth Workshop on Analytic Algorithmics and Combinatorics, ANALCO 2009, New York, New York, USA, January 03, 2009",2009,SIAM,db/conf/analco/analco2009.html,proceedings
conf/podc/2011,http://dl.acm.org/citation.cfm?id=1993806,"Proceedings of the 30th Annual ACM Symposium on Principles of Distributed Computing, PODC 2011, San Jose, CA, USA, June 6-8, 2011",2011,ACM,db/conf/podc/podc2011.html,proceedings
conf/opodis/2013,http://dx.doi.org/10.1007/978-3-319-03850-6,"Principles of Distributed Systems - 17th International Conference, OPODIS 2013, Nice, France, December 16-18, 2013. Proceedings",2013,Springer,db/conf/opodis/opodis2013.html,proceedings
conf/hybrid/2008,978-3-540-78928-4,"Hybrid Systems: Computation and Control, 11th International Workshop, HSCC 2008, St. Louis, MO, USA, April 22-24, 2008. Proceedings",2008,Springer,db/conf/hybrid/hscc2008.html,proceedings
conf/opodis/2012,http://dx.doi.org/10.1007/978-3-642-35476-2,"Principles of Distributed Systems, 16th International Conference, OPODIS 2012, Rome, Italy, December 18-20, 2012. Proceedings",2012,Springer,db/conf/opodis/opodis2012.html,proceedings
conf/dagstuhl/2007P7131,http://drops.dagstuhl.de/portals/07131/,"Similarity-based Clustering and its Application to Medicine and Biology, 25.03. - 30.03.2007",2007,"Internationales Begegnungs- und Forschungszentrum fuer Informatik (IBFI), Schloss Dagstuhl, Germany",db/conf/dagstuhl/P7131.html,proceedings
conf/dagm/1999,3-540-66381-9,"Mustererkennung 1999, 21. DAGM-Symposium, Bonn, 15.-17. September 1999, Proceedings",1999,Springer,db/conf/dagm/dagm1999.html,proceedings
conf/apscc/2011,http://ieeexplore.ieee.org/xpl/mostRecentIssue.jsp?punumber=6126161,"2011 IEEE Asia-Pacific Services Computing Conference, APSCC 2011, Jeju, Korea (South), December 12-15, 2011",2011,IEEE Computer Society,db/conf/apscc/apscc2011.html,proceedings
conf/dagm/1995,3-540-60293-3,"Mustererkennung 1995, 17. DAGM-Symposium, Bielefeld, 13.-15. September 1995, Proceedings",1995,Springer,db/conf/dagm/dagm1995.html,proceedings
conf/sc/2013works,http://dl.acm.org/citation.cfm?id=2534248,"Proceedings of WORKS 2013: 8th Workshop On Workflows in Support of Large-Scale Science, Held in conjunction with SC13, Denver, CO, USA, November 17, 2013",2013,ACM,db/conf/sc/works2013.html,proceedings
conf/wowmom/1998,http://dx.doi.org/10.1145/288338,"Proceedings of First ACM International Workshop on Wireless Mobile Multimedia, WOWMOM '98, Dallas, TX, USA, October 30, 1998",1998,ACM,db/conf/wowmom/wowmom1998.html,proceedings
conf/wowmom/1999,http://dx.doi.org/10.1145/313256,"Proceedings of Second ACM International Workshop on Wireless Mobile Multimedia, WOWMOM '99, Seattle, Washington, USA, August 20, 1999",1999,ACM,db/conf/wowmom/wowmom1999.html,proceedings
conf/icic/2011-2,http://dx.doi.org/10.1007/978-3-642-25944-9,"Advanced Intelligent Computing Theories and Applications. With Aspects of Artificial Intelligence - 7th International Conference, ICIC 2011, Zhengzhou, China, August 11-14, 2011, Revised Selected Papers",2012,Springer,db/conf/icic/icic2011-2.html,proceedings
conf/euros/2006,978-3-540-32689-2,"First European Robotics Symposium 2006, EUROS 2006, Palermo, Italy",2006,Springer,db/conf/euros/euros2006.html,proceedings
conf/analco/2012,http://dx.doi.org/10.1137/1.9781611973020,"Proceedings of the 9th Meeting on Analytic Algorithmics and Combinatorics, ANALCO 2012, Kyoto, Japan, January 16, 2012",2012,SIAM,db/conf/analco/analco2012.html,proceedings
conf/atmos/2009,http://drops.dagstuhl.de/portals/09002/,"ATMOS 2009 - 9th Workshop on Algorithmic Approaches for Transportation Modeling, Optimization, and Systems, IT University of Copenhagen, Denmark, September 10, 2009",2009,"Schloss Dagstuhl - Leibniz-Zentrum fuer Informatik, Germany",db/conf/atmos/atmos2009.html,proceedings
conf/atmos/2013,978-3-939897-58-3,"13th Workshop on Algorithmic Approaches for Transportation Modelling, Optimization, and Systems, ATMOS 2013, September 5, 2013, Sophia Antipolis, France",2013,Schloss Dagstuhl - Leibniz-Zentrum fuer Informatik,db/conf/atmos/atmos2013.html,proceedings
conf/icse/2005edu,3-540-68203-1,"Software Engineering Education in the Modern Age, Software Education and Training Sessions at the International Conference on Software Engineering, ICSE 2005, St. Louis, MO, USA, May 15-21, 2005, Revised Lectures",2006,Springer,db/conf/icse/icse2005edu.html,proceedings
conf/drw/2003,,"Discrete Random Walks, DRW'03, Paris, France, September 1-5, 2003",2003,DMTCS,db/conf/drw/drw2003.html,proceedings
conf/complenet/2010,http://dx.doi.org/10.1007/978-3-642-25501-4,"Complex Networks - Second International Workshop, CompleNet 2010, Rio de Janeiro, Brazil, October 13-15, 2010, Revised Selected Papers",2011,Springer,db/conf/complenet/complenet2010.html,proceedings
