conf/pods/84,conf/pods/KuperV84
conf/itch/2013,conf/itch/HorwoodALHFF13
journals/ijcga,journals/ijcga/FrahlingIS08
journals/presence,journals/presence/HajshirmohammadiP07
conf/iswc/1999,conf/iswc/LehikoinenHSA99
conf/sensys/2012buildsys,conf/sensys/LiBJS12
conf/debs/2011,conf/debs/VincentAMP11
conf/ercimdl/1998,conf/ercimdl/SairameshC98
conf/icassp/1994,conf/icassp/ConstantinidesS94
conf/issoc/2011,conf/issoc/BortolottiPPMRB11
conf/sara/2009,conf/sara/FelnerS09
conf/accv/2009-3,conf/accv/VineetN09
conf/icdt/88,conf/icdt/KiferL88
conf/iccad/2010,conf/iccad/Maillet-Contoz10
conf/sigmod/96,conf/sigmod/GarofalakisI96
conf/evoW/2010bio,conf/evoW/CeruttiBGG10
conf/mpc/1989,conf/mpc/MayS89
conf/pacis/2001,conf/pacis/KimJ01
conf/sdb/1995,conf/sdb/Vincent95
conf/services/2008-1,conf/services/PuraoVBBCLSSW08
conf/edbt/92,conf/edbt/MohanN92
conf/cikm/1994w,conf/cikm/Bieber
conf/policy/2007,conf/policy/El-AtawySWALPL07
conf/krdb/95,conf/krdb/Lebastard95
conf/dood/1995,conf/dood/FahrnerV95
conf/icse/1985,conf/icse/HooperEJ85
conf/tdb/95,conf/tdb/DaviesLHC95
conf/iros/2003,conf/iros/SongG03
journals/dafes,journals/dafes/ScharwachterKLAM11
conf/scm/1995,conf/scm/Cagan95
conf/t4e/2010,conf/t4e/PoursaeedL10
conf/cascon/1994,conf/cascon/YanL94
conf/sigir/93,conf/sigir/CallanC93
journals/ml,journals/ml/Quinlan86
conf/dgo/2006,conf/dgo/Curwell06
conf/icdim/2010,conf/icdim/Khoury10
conf/time/2000,conf/time/MountrakisAS00
conf/vtc/2011f,conf/vtc/CharoenO11
conf/date/2000,conf/date/SimunicBGM00
conf/mc/2014,conf/mc/HerrmannySBLGHZ14
conf/icde/97,conf/icde/WangVI97
conf/ssdbm/94,conf/ssdbm/OberweisS94
journals/bmcbi,journals/bmcbi/SantamariaTQ08
conf/imis/2013,conf/imis/ZhaoJWYY13
conf/icdcs/1997,conf/icdcs/HeddayaM97
conf/iva/2006,conf/iva/GratchOLMMWM06
conf/mie/2008,conf/mie/BlobelP08
conf/vlsid/1996,conf/vlsid/DasguptaSNB96
conf/sacmat/2008,conf/sacmat/NiBL08
conf/formats/2011,conf/formats/KupferschmidB11
conf/cicc/2012,conf/cicc/ChakrabartiK12
conf/mum/2012,conf/mum/SeebodeSM12
conf/group/2009,conf/group/GurzickWLB09
conf/cdb/1995,conf/cdb/YakhnoCZ95
conf/sigmod/89,conf/sigmod/Gray89
conf/micro/1992,conf/micro/ChenCK92
conf/icc/2010,conf/icc/SonJCS10
conf/sg/2003,conf/sg/LeeKT03
conf/imis/2013,conf/imis/ChenLS13
conf/soda/2013,conf/soda/EpsteinLS13
conf/ecai/2004,conf/ecai/DeventerNC04
conf/isita/2010,conf/isita/Kamabe10
conf/icassp/2002,conf/icassp/GarciaLB02
conf/tase/2013,conf/tase/MadlenerS13
conf/hpdc/1998,conf/hpdc/VahdatADBCEY98
conf/icde/98,conf/icde/LiuP98
conf/esa/2010-1,conf/esa/BuchinS10
conf/kdd/2009vakd,conf/kdd/OrdonezC09
conf/coopis/1996,conf/coopis/PapazoglouRE96
conf/vtc/2010f,conf/vtc/BazzoCSKM10
conf/green/2010,conf/green/LeBNBM10
journals/combinatorics,journals/combinatorics/AnuradhaBCLLS13
conf/pods/92,conf/pods/Morishita92
conf/icira/2008-1,conf/icira/WangZZ08
conf/issac/1994,conf/issac/MonaganG94
conf/ssd/89,conf/ssd/Goodchild89
conf/soda/2008,conf/soda/FiatMN08
conf/glvlsi/2014,conf/glvlsi/LinLCL14
conf/otm/2007-1,conf/otm/SerbuKF07
conf/hpcn/2001,conf/hpcn/BaraccaCO01
conf/edbt/88,conf/edbt/LorentzosJ88
conf/esec/1989,conf/esec/Ince89
conf/isbms/2006,conf/isbms/VogtLBPCPF06
conf/focs/FOCS27,conf/focs/GarzonZ86
