91/232,conf/smartnet/BesslerNPPS00
35/5629,conf/sigmod/RundensteinerCCSO00
75/4085,conf/iswcs/MariCSD12
48/1215,conf/hpsr/AghdaiZDXC13
91/346,conf/db-workshops/Nikhil85
53/5222,conf/csmr/IslamMSS12
11/4223,conf/er/Klug79
w/XintaoWu,conf/dawak/BarbaraW00
g/CyrilGavoille,conf/spaa/AbrahamGM06a
85/11053,journals/chb/WangDSPBDM12
42/4610,conf/podc/AguileraSSAC99
39/2268,conf/dbsec/DittrichHP88
41/4640,journals/ivs/ChangLGKRYSZKS08
12/4049,conf/swarm/JiaHL11
28/5735,conf/esscirc/SuLP11
08/1420,conf/iri/MirzaeeHI05
66/9922,conf/ictai/CambazardMOQRPD11
16/10492,conf/sbm/BottGL11
80/1550,conf/sac/GriecoMS05
24/7703,conf/vr/SherstyukDS12
b/JoseBravo,conf/iwann/VillarrealFHB11
h/MartinHardwick,conf/dasfaa/PoulinH89
y/ClementTYu,conf/cikm/LiuOSWYR96
03/464,journals/sigmod/DayalBBCHLMRSCLJ88
61/487,conf/aaai/BaudinKUB93
w/ZhengWang,conf/secon/WangJSG10
w/ScottNWoodfield,conf/caise/JacksonEW94
78/11148,conf/bibm/QabajaAAR09
130/2803,conf/sew/MathurCVTT12
16/4128,journals/cacm/NewcombKN91
03/497,conf/isvlsi/ChenSGPCA14
41/229,conf/ram/YuLYS11
87/3292,conf/synasc/ReizP11
67/2946,conf/siggraph/LiuYLC14
n/FrankNeven,conf/icalp/NevenS00
m/ShlomoMoran,journals/tods/Moran83
04/6461,conf/ifip6/AlarcosCSV06
135/8075,conf/asap/ClercqPSV14
c/ABCremers,conf/adl/WolffFC00
p/MajaPantic,conf/cscw/EversMMGNPA14
90/243,conf/kdd/AgrawalMSSAB96
37/5126,conf/wacv/YangWSLZX11
155/5744,conf/globecom/ChengZA03
75/6429,conf/ijcci/BoonlongCM10
59/3047,conf/cgo/GartleyPSG13
16/4154,conf/sigmod/ChanDFGRS83
g/DonaldPGreenberg,conf/siggraph/HeHPTSG92
65/9778,conf/mum/KaasilaFKO12
65/1917,conf/aaai/ShastriA90
40/4895,journals/dpd/HsuK96
46/6853,conf/date/NeyGPVBG08
75/5591,conf/pdp/FloresAA10
32/6865,conf/sg/GomisVAC03
65/2401,journals/tap/LuME10
11/24,conf/iscopt/ChengGL12
94/1428,conf/cp/Rochart04
m/WolfgangMulzer,conf/esa/ChazelleM12
54/5215,conf/vldb/NguyenR87
w/ZhengWang,conf/bibm/ChengWED11
04/6338,conf/wcnc/MinKLKBH07
88/5893,conf/sac/FurukawaOMI10
20/3093,conf/indocrypt/BanikC13
85/1344,conf/vissoft/ChoudhuryR11
11/3650,series/faia/SemmelDLRSB06
72/5179,conf/mm/DelgrossiHHHKSV93
55/6061,conf/pos/Mancini92
35/5521,conf/evoW/LaRocheZH10
77/292,conf/mhci/BohmerGHK13
m/DennisMcLeod,conf/ds/FangHM92
55/1550,series/sci/KontostathisPD05
35/2541,conf/cp/AudemardS08
15/809,conf/simvis/SchlemppK97
31/1379,conf/ieeevast/YangFHGLRW06
26/3536,journals/computer/WactlarKSS96
54/3587,conf/vmv/VanakenHMFBR08
95/1112,conf/caise/PalanqueBDS93
94/190,conf/prib/AlborziMFRZ14
59/2063,conf/percom/VarshavskyLHL07
r/KRamamohanarao,conf/adc/HarrisR94
g/DirkVanGucht,conf/pods/GyssensPG90
g/AnoopGupta,conf/asplos/HeinrichKOHBSSGNHGRH94
21/2715,conf/egve/LiuLK11
90/455,conf/aaai/KahnKP87
s/DanielDominicSleator,conf/stoc/SleatorT83
18/1171,conf/dexa/Leiwo99
70/3165,conf/vissym/ZhengP03
26/437,conf/synasc/Ravve14a
40/8745,conf/samos/DrijversPCMB10
33/7187,conf/focs/CyganNPPRW11
m/MichaelMerz,conf/ma/TuGML98
81/6619,conf/pe-wasun/HadidGM09
c/JasonCong,conf/aspdac/CongPS01
33/3901,journals/jstsp/ZhuBWKBED10
00/6347,conf/bncod/GrustKGHS97
l/QingLi,conf/vldb/YangKL97
45/6515,conf/iceis/ReisSC08
03/9798,conf/aips/ValenzanoATSS13
p/SPadmanabhan,journals/ibmsj/BaruFGHJPCW95
t/PaoloTiberio,conf/ngits/GrandiST95
x/TaoXie,conf/icics/MartinXY06
14/1398,journals/ipl/MihaljevicGPI12
50/1983,conf/uist/BellottiDHNSS02
30/8921,conf/secrypt/JiagueFGKLMS11
119/4525,conf/tei/LiuG14
09/5042-2,journals/sigmod/LingS92
71/6581,conf/hais/ChavesRGSLISO11
49/7720,conf/siggraph/SchabusPH11
