conf/nips/CsekeOS13,inproceedings,Approximate inference in latent Gaussian-Markov models from continuous time observations.,NIPS,2013,,971-979,,db/conf/nips/nips2013.html#CsekeOS13,,
conf/rskt/ZhangYWMH12,inproceedings,Semi-supervised Clustering Ensemble Based on Collaborative Training.,RSKT,2012,,450-455,,db/conf/rskt/rskt2012.html#ZhangYWMH12,,
journals/tcsv/TaoCWH99,article,Compression of MPEG-4 facial animation parameters for transmission of talking heads.,,1999,9,264-276,,db/journals/tcsv/tcsv9.html#TaoCWH99,IEEE Trans. Circuits Syst. Video Techn.,
conf/cpaior/WallaceW06,inproceedings,Conditional Lexicographic Orders in Constraint Satisfaction Problems.,CPAIOR,2006,,258-272,,db/conf/cpaior/cpaior2006.html#WallaceW06,,
journals/ivs/RohrdantzMNK14,article,Augmenting the educational curriculum with the Visual Analytics Science and Technology Challenge: Opportunities and pitfalls.,,2014,13,313-325,,db/journals/ivs/ivs13.html#RohrdantzMNK14,Information Visualization,
conf/ecai/BrewkaW14,inproceedings,GRAPPA: A Semantical Framework for Graph-Based Argument Processing.,ECAI,2014,,153-158,,db/conf/ecai/ecai2014.html#BrewkaW14,,
conf/rskt/YangWX12,inproceedings,Maximizing Influence Spread in a New Propagation Model.,RSKT,2012,,292-301,,db/conf/rskt/rskt2012.html#YangWX12,,
journals/jsce/ZongWTS14,article,Robust adaptive approximate backstepping control of a flexible air-breathing hypersonic vehicle with input constraint and uncertainty.,,2014,228,521-539,,db/journals/jsce/jsce228.html#ZongWTS14,J. Systems & Control Engineering,
conf/ecai/TorresRL10,inproceedings,Inducing Decision Trees from Medical Decision Processes.,KR4HC,2010,,40-55,,db/conf/ecai/kr4hc2010.html#TorresRL10,,
conf/nips/GuoSL13,inproceedings,Reward Mapping for Transfer in Long-Lived Agents.,NIPS,2013,,2130-2138,,db/conf/nips/nips2013.html#GuoSL13,,
conf/caise/GarciaGT10,inproceedings,Visualising Semantic Coupling among Entities in an OWL Ontology.,ONTOSE,2010,,90-106,,db/conf/caise/ontose2010.html#GarciaGT10,,
conf/tei/DeichMGSHR14,inproceedings,Form &amp; function toolkit: printed electronics for unconventional interface.,Tangible and Embedded Interaction,2014,,365-368,,db/conf/tei/tei2014.html#DeichMGSHR14,,
conf/sg/PintilieTH05,inproceedings,"Generation of Glyphs for Conveying Complex Information, with Application to Protein Representations.",Smart Graphics,2005,,90-102,,db/conf/sg/sg2005.html#PintilieTH05,,
conf/ivic/AbdullahAL13,inproceedings,Exploring the User Engagement in Interacting with Game Interfaces.,IVIC,2013,,231-240,,db/conf/ivic/ivic2013.html#AbdullahAL13,,
conf/ecai/CzarneckiP14,inproceedings,Adaptive Active Learning as a Multi-armed Bandit Problem.,ECAI,2014,,989-990,,db/conf/ecai/ecai2014.html#CzarneckiP14,,
conf/vrcai/DengZWH04,inproceedings,Research and implementation of management software for SAN based on clustering technology.,VRCAI,2004,,463-466,,db/conf/vrcai/vrcai2004.html#DengZWH04,,
conf/dagstuhl/RossG01,inproceedings,"Hypertextbooks: Animated, Active Learning, Comprehensive Teaching and Learning Resources for the Web.",Software Visualization,2001,,269-284,,db/conf/dagstuhl/svis2001.html#RossG01,,
journals/jstsp/TheilerCBB11,article,Sparse Matrix Transform for Hyperspectral Image Processing.,,2011,5,424-437,,db/journals/jstsp/jstsp5.html#TheilerCBB11,J. Sel. Topics Signal Processing,
conf/ieeevast/BroeksemaMCG14,inproceedings,Interactive visual support for metagenomic contig binning.,IEEE VAST,2014,,233-234,,db/conf/ieeevast/ieeevast2014.html#BroeksemaMCG14,,
conf/nips/ZhuL14,inproceedings,Quantized Estimation of Gaussian Sequence Models in Euclidean Balls.,NIPS,2014,,3662-3670,,db/conf/nips/nips2014.html#ZhuL14,,
conf/cogart/GrimmKMSLTHH11,inproceedings,Performance evaluation of directional spectrum sensing using an over-the-air testbed.,CogART,2011,,17,,db/conf/cogart/cogart2011.html#GrimmKMSLTHH11,,
series/hci/AignerMST11,book,Visualization of Time-Oriented Data,,2011,,1-267,Springer,http://dx.doi.org/10.1007/978-0-85729-079-3,,
conf/ecoop/CrnogoracRR98,inproceedings,Classifying Inheritance Mechanisms in Concurrent Object Oriented Programming.,ECOOP,1998,,571-600,,db/conf/ecoop/ecoop98.html#CrnogoracRR98,,
journals/cgf/BurchD08,article,TimeRadarTrees: Visualizing Dynamic Compound Digraphs.,,2008,27,823-830,,db/journals/cgf/cgf27.html#BurchD08,Comput. Graph. Forum,
conf/huc/LiuDLLG13,inproceedings,The collective infrastructural work of electricity: exploring feedback in a prepaid university dorm in China.,UbiComp,2013,,295-304,,db/conf/huc/ubicomp2013.html#LiuDLLG13,,
conf/cp/Zhou96,inproceedings,A Constraint Program for Solving the Job-Shop Problem.,CP,1996,,510-524,,db/conf/cp/cp96.html#Zhou96,,
journals/bmcbi/LivengoodM0E12,article,OmicsVis: an interactive tool for visually analyzing metabolomics data.,,2012,13,S6,,db/journals/bmcbi/bmcbi13S.html#LivengoodM0E12,BMC Bioinformatics,
journals/dss/WangSMXG14,article,Sentiment classification: The contribution of ensemble learning.,,2014,57,77-93,,db/journals/dss/dss57.html#WangSMXG14,Decision Support Systems,
conf/wcnc/GongA12,inproceedings,Ergodic capacity for cognitive radio with partial channel state information of the primary user.,WCNC,2012,,555-560,,db/conf/wcnc/wcnc2012.html#GongA12,,
conf/visualization/KnissPHE02,inproceedings,Interactive Translucent Volume Rendering and Procedural Modeling.,IEEE Visualization,2002,,109-116,,db/conf/visualization/visualization2002.html#KnissPHE02,,
conf/cp/MehtaOQ11,inproceedings,Value Ordering for Finding All Solutions: Interactions with Adaptive Variable Ordering.,CP,2011,,606-620,,db/conf/cp/cp2011.html#MehtaOQ11,,
conf/eurogp/YuM02,inproceedings,Finding Needles in Haystacks Is Not Hard with Neutrality.,EuroGP,2002,,13-25,,db/conf/eurogp/eurogp2002.html#YuM02,,
journals/scp/XianSJ08,article,"Garbage collection: Java application servers' Achilles heel.",,2008,70,89-110,,db/journals/scp/scp70.html#XianSJ08,Sci. Comput. Program.,
conf/ssdbm/BurnettT81,inproceedings,Data Management Support for Statistical Data Editing and Subset Selection.,SSDBM,1981,,88-102,,db/conf/ssdbm/ssdbm81.html#BurnettT81,,
