conf/edbt/WangYW00,conf/vldb/GoldmanW97
conf/edbt/BonczQK96,conf/vldb/DeWittKLPY94
conf/cikm/KimC95,journals/tois/FaloutsosC84
conf/adbis/Torres99,conf/stoc/AbiteboulV91
conf/dasfaa/EmbleyN89,conf/sigmod/Orenstein86
conf/edbt/RohmBS00,journals/ibmsj/BaruFGHJPCW95
conf/dasfaa/SatohTIF91,conf/vldb/BittonDT83
conf/edbt/Han92,conf/dood/BrodskyS89
conf/edbt/LecluseRV88,conf/vldb/BancilhonBKV87
conf/er/CecilCL98,journals/tse/LarsonNE89
conf/edbt/Vista98,journals/tkde/GriffinLT97
conf/er/Dampney87,conf/er/Mark83
conf/dasfaa/FujisawaKKK91,conf/eds/FujisawaHH86
conf/edbt/LecluseRV88,books/aw/Stroustrup86
conf/er/EllmerHMP95,conf/er/BouzeghoubC90
conf/er/BreitenederM90,journals/tse/BatiniL84
conf/dbpl/LacroixV87,conf/sigmod/StonebrakerR86
conf/er/BattistaL88,journals/csur/BatiniL86
conf/edbt/SrinivasanC92,conf/dpds/PuHW88
conf/cikm/OzsuMS95,conf/sigmod/GraefeD87
conf/adbis/MadriaB97,journals/jacm/BeeriBG89
conf/cikm/AlagarSS95,conf/icde/Lee92
conf/er/BillingsHA99,journals/ibmsj/Aiken98
conf/edbt/BerchtoldBK98,conf/sigmod/BerchtoldBBKK97
conf/adbis/Martynov95,conf/sigmod/Orenstein86
conf/er/DeSG81,conf/sigmod/HammerM78
conf/adbis/Torres98,conf/stoc/AbiteboulV91
conf/dasfaa/Kim95,conf/vldb/Kim89
conf/dasfaa/NepalRT99,conf/adc/NepalRT98
conf/dasfaa/Lee93,journals/cacm/Liskov88
conf/er/CardenasP79,journals/is/CODASYL77
journals/vldb/BerchtoldKK97,conf/icde/BrinkhoffKS93
conf/adbis/DiskinC97,journals/sigmod/DrewKMRS93
conf/dbpl/StempleS87,conf/icde/StempleSB86
conf/dasfaa/YunH93,journals/is/GligorP86
conf/coopis/Theodoratos00,conf/sigmod/HullZ96
conf/cikm/MakkiP95,journals/tocs/ChandyMH83
conf/dasfaa/ShahFGRV93,conf/tdb/NavatheA87
conf/dbpl/DongS91,conf/pods/HullS89
conf/er/CarlsonA83,conf/vldb/Date81
conf/dbpl/CherniackZN95,conf/dbpl/Kosky95
conf/er/Choenni98,books/bc/ElmasriN89
conf/adbis/ChappeletGPS97,journals/dpd/GeorgakopoulosHS95
conf/er/Bertino83,conf/berkeley/Apers81
conf/dasfaa/Lautemann99,conf/dasfaa/Lautemann97
conf/adbis/BiskupK97,conf/cade/BachmairGLS92
conf/dbpl/ChenKW89,journals/jacm/AptE82
conf/cikm/HerzogS95,conf/vldb/DeWittGGHKM86
conf/adbis/MostefaouiK98,books/bc/ElmasriN94
conf/dasfaa/Kim95,conf/vldb/Kim93
conf/adbis/Norvag99,conf/sigmod/LometS89
conf/er/CastanoAZ92,journals/tse/ReubensteinW91
conf/cikm/BrunstromLS95,conf/stoc/AwerbuchBF93
conf/dasfaa/Hammoudi95,journals/tois/BracchiP84
conf/dasfaa/KimLK99,books/aw/Samet90
conf/edbt/SantosAD94,conf/edbt/MoerkotteZ92
conf/edbt/Barbedette90,conf/sigmod/CareyDV88
conf/dbpl/HullJ87,journals/spe/Feldman79
conf/dasfaa/ChenL99,conf/vldb/ElmagarmidLLR90
conf/dbpl/HugherC87,journals/spe/WelshB79
conf/dasfaa/KangS91,conf/podc/DemersGHIL87
conf/er/BehmT93,conf/sigmod/JagannathanGFTT88
conf/er/CatarciF88,journals/tods/Chen76
conf/er/BrasethvikG99,conf/er/EmbleyCJLNQS98
conf/dbpl/Nikhil87,journals/tods/HechtG83
conf/edbt/Vista98,conf/sigmod/GuptaMS93
conf/adbis/GriefahnLM97,conf/ewdw/CeriM94
conf/edbt/SrivastavaKN00,conf/vldb/DarFJST96
conf/er/AmagasaATK98,conf/dexaw/AmagasaAK98
conf/dasfaa/RamamohanaraoSS89,journals/siamcomp/Rivest76
conf/er/Al-JadirL99,conf/sigmod/BanerjeeKKK87
conf/dbpl/ParedaensKKV97,books/aw/AbiteboulHV95
conf/adbis/Frank99,books/ph/KemperM94
