journals/imds,Industrial Management and Data Systems
journals/nc,Natural Computing
conf/ecai/1996,"12th European Conference on Artificial Intelligence, Budapest, Hungary, August 11-16, 1996, Proceedings",ECAI,1996,,"John Wiley and Sons, Chichester",db/conf/ecai/ecai96.html
journals/josis,J. Spatial Information Science
journals/network,IEEE Network
conf/wdag/1996,"Distributed Algorithms, 10th International Workshop, WDAG '96, Bologna, Italy, October 9-11, 1996, Proceedings",WDAG,1996,1151,Springer,db/conf/wdag/wdag96.html
journals/behaviourIT,Behaviour & IT
conf/isca/1991,"Proceedings of the 18th Annual International Symposium on Computer Architecture. Toronto, Canada, May, 27-30 1991",ISCA,1991,,ACM,db/conf/isca/isca91.html
conf/slp/1994,"Logic Programming, Proceedings of the 1994 International Symposium, Ithaca, New York, USA, November 13-17, 1994",ILPS,1994,,MIT Press,db/conf/slp/slp94.html
conf/cc/1999,"Compiler Construction, 8th International Conference, CC'99, Held as Part of the European Joint Conferences on the Theory and Practice of Software, ETAPS'99, Amsterdam, The Netherlands, 22-28 March, 1999, Proceedings",CC,1999,1575,Springer,db/conf/cc/cc99.html
conf/cade/1980,"5th Conference on Automated Deduction, Les Arcs, France, July 8-11, 1980, Proceedings",CADE,1980,87,Springer,db/conf/cade/cade80.html
journals/istr,Inf. Sec. Techn. Report
conf/sigmod/99,"SIGMOD 1999, Proceedings ACM SIGMOD International Conference on Management of Data, June 1-3, 1999, Philadelphia, Pennsylvania, USA.",,1999,,ACM Press,db/conf/sigmod/sigmod99.html
journals/concurrency,Concurrency and Computation: Practice and Experience
conf/iclp/1991,"Logic Programming, Proceedings of the Eigth International Conference, Paris, France, June 24-28, 1991",ICLP,1991,,MIT Press,db/conf/iclp/iclp91.html
conf/wdag/1993,"Distributed Algorithms, 7th International Workshop, WDAG '93, Lausanne, Switzerland, September 27-29, 1993, Proceedings",WDAG,1993,725,Springer,db/conf/wdag/wdag93.html
conf/caise/1997,"Advanced Information Systems Engineering, 9th International Conference CAiSE'97, Barcelona, Catalonia, Spain, June 16-20, 1997, Proceedings",CAiSE,1997,1250,Springer,db/conf/caise/caise97.html
conf/dagstuhl/2005P5261,"Multi-Version Program Analysis, 26. June - 1. July 2005",Multi-Version Program Analysis,2006,05261,"Internationales Begegnungs- und Forschungszentrum für Informatik (IBFI), Schloss Dagstuhl, Germany",db/conf/dagstuhl/P5261.html
conf/chi/1996,"Conference on Human Factors in Computing Systems: Common Ground, CHI '96, Vancouver, BC, Canada, April 13-18, 1996, Proceedings.",CHI,1996,,ACM,db/conf/chi/chi96.html
conf/ipps/2008,"22nd IEEE International Symposium on Parallel and Distributed Processing, IPDPS 2008, Miami, Florida USA, April 14-18, 2008",IPDPS,2008,,IEEE,db/conf/ipps/ipdps2008.html
conf/ride/98,"RIDE'98 - Eighth International Workshop on Research Issues in Data Engineering: Continuous-Media Databases and Applications, Adam's Mark Hotel, Orlando, Florida, USA, February 23-24, 1998",,1998,,IEEE Computer Society,db/conf/ride/ride98.html
conf/fmldo/1998,"Fundamentals of Information Systems - Papers from the Seventh Workshop on Foundations of Models and Languages for Data and Objects, Ostfriesland, Germany, October 5-9, 1998",FMLDO,1999,,Kluwer,db/conf/fmldo/fmldo98.html
journals/vr,Virtual Reality
conf/mobicom/1999,"MOBICOM '99, The Fifth Annual ACM/IEEE International Conference on Mobile Computing and Networking, Seattle, Washington, USA, August 15-19, 1999.",MOBICOM,1999,,ACM,db/conf/mobicom/mobicom1999.html
conf/iwec/2011,"Entertainment Computing - ICEC 2011 - 10th International Conference, ICEC 2011, Vancouver, Canada, October 5-8, 2011. Proceedings",ICEC,2011,6972,Springer,db/conf/iwec/icec2011.html
conf/wg/1995,"Graph-Theoretic Concepts in Computer Science, 21st International Workshop, WG '95, Aachen, Germany, June 20-22, 1995, Proceedings",WG,1995,1017,Springer,db/conf/wg/wg95.html
journals/igpl,Logic Journal of the IGPL
conf/wcnc/2005,"IEEE Wireless Communications and Networking Conference, WCNC 2005, March 13-17, 2005, New Orleans, Louisiana, USA",WCNC,2005,,IEEE,db/conf/wcnc/wcnc2005.html
conf/fsttcs/1998,"Foundations of Software Technology and Theoretical Computer Science, 18th Conference, Chennai, India, December 17-19, 1998, Proceedings",FSTTCS,1998,1530,Springer,db/conf/fsttcs/fsttcs98.html
conf/dexaw/1999,"10th International Workshop on Database &amp; Expert Systems Applications, Florence, Italy, September 1-3, 1999, Proceedings.",DEXA Workshops,1999,,IEEE Computer Society,db/conf/dexaw/dexaw99.html
conf/fccm/2004,"12th IEEE Symposium on Field-Programmable Custom Computing Machines (FCCM 2004), 20-23 April 2004, Napa, CA, Proceedings",FCCM,2004,,IEEE Computer Society,db/conf/fccm/fccm2004.html
conf/rtss/1989,"Proceedings of the Real-Time Systems Symposium - 1989, Santa Monica, California, USA, December 1989",RTSS,1989,,IEEE Computer Society,db/conf/rtss/rtss1989.html
journals/tois,ACM Trans. Inf. Syst.
conf/er/98,"Conceptual Modeling - ER '98, 17th International Conference on Conceptual Modeling, Singapore, November 16-19, 1998, Proceedings",ER,1998,1507,Springer,db/conf/er/er98.html
conf/amcp/1998,"Advanced Multimedia Content Processing, First International Conference, AMCP '98, Osaka, Japan, November, 9-11, 1998, Proceedings",AMCP,1999,1554,Springer,db/conf/amcp/amcp98.html
conf/cc/2000,"Compiler Construction, 9th International Conference, CC 2000, Held as Part of the European Joint Conferences on the Theory and Practice of Software, ETAPS 2000, Berlin, Germany, Arch 25 - April 2, 2000, Proceedings",CC,2000,1781,Springer,db/conf/cc/cc2000.html
conf/pervasive/2010,"Pervasive Computing, 8th International Conference, Pervasive 2010, Helsinki, Finland, May 17-20, 2010. Proceedings",Pervasive,2010,6030,Springer,db/conf/pervasive/pervasive2010.html
conf/aaai/1992,"Proceedings of the 10th National Conference on Artificial Intelligence. San Jose, CA, July 12-16, 1992.",AAAI,1992,,AAAI Press / The MIT Press,db/conf/aaai/aaai92.html
journals/ijns,Int. J. Neural Syst.
conf/ijcai/1995,"Proceedings of the Fourteenth International Joint Conference on Artificial Intelligence, IJCAI 95, Montréal Québec, Canada, August 20-25 1995, 2 Volumes",IJCAI,1995,,Morgan Kaufmann,db/conf/ijcai/ijcai95.html
conf/er/96,"Conceptual Modeling - ER'96, 15th International Conference on Conceptual Modeling, Cottbus, Germany, October 7-10, 1996, Proceedings",ER,1996,1157,Springer,db/conf/er/er96.html
journals/ijes,IJES
journals/csi,Computer Standards & Interfaces
journals/wwwj,World Wide Web Journal
conf/oopsla/1994,"OOPSLA'94, Proceedings of the Ninth Annual Conference on Object-Oriented Programming Systems, Languages, and Applications, Portland, Oregon, USA, October 23-27, 1994.",OOPSLA,1994,,ACM,db/conf/oopsla/oopsla94.html
conf/icfp/2000,"Proceedings of the Fifth ACM SIGPLAN International Conference on Functional Programming (ICFP '00), Montreal, Canada, September 18-21, 2000.",ICFP,2000,,ACM,db/conf/icfp/icfp2000.html
conf/usenix/1991su,"Proceedings of the Summer 1991 USENIX Conference, Nashville, TE, USA, June 1991",USENIX Summer,1991,,USENIX Association,db/conf/usenix/usenix_su91.html
conf/pldi/1996,"Proceedings of the ACM SIGPLAN'96 Conference on Programming Language Design and Implementation (PLDI), Philadephia, Pennsylvania, May 21-24, 1996",PLDI,1996,,ACM,db/conf/pldi/pldi96.html
conf/ijcai/1981,"Proceedings of the 7th International Joint Conference on Artificial Intelligence (IJCAI '81), Vancouver, BC, Canada, August 1981",IJCAI,1981,,William Kaufmann,db/conf/ijcai/ijcai81.html
